Trial noise_type coaxial_lum test_lum match_lum response_time match_initial grating_freq grating_contrast noise_freq rep view_count
0 global -1.0 0.5 0.505052317906 16.9477210045 0.485052317906 .8 0.1 3.0 3 8
1 global 1.0 0.5 0.447736562945 9.08674192429 0.427736562945 .8 0.1 1.0 4 5
2 global -1.0 0.5 0.555087448565 9.55535197258 0.515087448565 .8 0.1 9.0 4 5
3 global -1.0 0.5 0.572144013755 8.34919190407 0.502144013755 .8 0.1 1.0 3 4
4 global 1.0 0.5 0.452215130483 9.39566087723 0.512215130483 .8 0.1 1.73 4 5
5 global -1.0 0.5 0.532884848965 21.9166419506 0.542884848965 .8 0.1 1.73 2 12
6 none 1.0 0.5 0.497900883857 11.6728348732 0.517900883857 .8 0.1 0.0 3 6
7 global 1.0 0.5 0.475771223354 8.94645285606 0.595771223354 .8 0.1 0.58 0 5
8 global -1.0 0.5 0.522360362755 15.9467260838 0.572360362755 .8 0.1 0.58 1 8
9 none 1.0 0.5 0.50386943548 12.194175005 0.54386943548 .8 0.1 0.0 2 7
10 global 1.0 0.5 0.492028514022 13.3702390194 0.512028514022 .8 0.1 1.0 2 7
11 global 1.0 0.5 0.521355375889 7.33146095276 0.511355375889 .8 0.1 1.73 1 3
12 global -1.0 0.5 0.537889865308 15.7625608444 0.477889865308 .8 0.1 9.0 0 8
13 global 1.0 0.5 0.536383158038 19.3915028572 0.576383158038 .8 0.1 5.2 2 9
14 global -1.0 0.5 0.543962802838 20.1528542042 0.533962802838 .8 0.1 9.0 1 10
15 global -1.0 0.5 0.582704820287 8.67068600655 0.582704820287 .8 0.1 1.0 4 5
16 none 1.0 0.5 0.514866298571 9.19393992424 0.464866298571 .8 0.1 0.0 1 5
17 global -1.0 0.5 0.538252711559 16.7434930801 0.488252711559 .8 0.1 5.2 3 9
18 global 1.0 0.5 0.487813811587 18.4332389832 0.417813811587 .8 0.1 3.0 3 9
19 global 1.0 0.5 0.509595436617 11.4199612141 0.479595436617 .8 0.1 5.2 4 5
20 global 1.0 0.5 0.440390675879 10.1594400406 0.460390675879 .8 0.1 0.58 1 6
21 global 1.0 0.5 0.481143578401 15.0314660072 0.411143578401 .8 0.1 0.58 4 8
22 global 1.0 0.5 0.485077680286 12.9196190834 0.495077680286 .8 0.1 9.0 2 7
23 global 1.0 0.5 0.465273675423 6.20107293129 0.565273675423 .8 0.1 1.0 0 3
24 none -1.0 0.5 0.544442789195 17.2411029339 0.414442789195 .8 0.1 0.0 1 8
25 none -1.0 0.5 0.559651424183 11.669080019 0.509651424183 .8 0.1 0.0 4 6
26 global -1.0 0.5 0.563395329391 11.270430088 0.493395329391 .8 0.1 3.0 4 5
27 none 1.0 0.5 0.504528628048 9.02881884575 0.594528628048 .8 0.1 0.0 4 5
28 global -1.0 0.5 0.554726046514 16.2418599129 0.444726046514 .8 0.1 3.0 2 9
29 global -1.0 0.5 0.525900582919 11.9131951332 0.455900582919 .8 0.1 1.73 4 6
30 global -1.0 0.5 0.545146445956 17.3379948139 0.545146445956 .8 0.1 0.58 0 9
31 global 1.0 0.5 0.41539274618 9.46794891357 0.49539274618 .8 0.1 1.0 3 5
32 global -1.0 0.5 0.526767514572 10.9307129383 0.516767514572 .8 0.1 0.58 3 6
33 global 1.0 0.5 0.528480893134 32.39153409 0.588480893134 .8 0.1 5.2 3 7
