Trial noise_type coaxial_lum test_lum match_lum response_time match_initial grating_freq grating_contrast noise_freq rep
0 global 1.0 0.5 0.545399797082 14.779750824 0.515399797082 .4 0.1 5.2 0
1 global -1.0 0.5 0.585968337001 10.6757919788 0.405968337001 .4 0.1 0.58 0
2 global 1.0 0.5 0.489801554725 8.83261585236 0.559801554725 .4 0.1 0.58 3
3 global -1.0 0.5 0.539019015169 21.8225710392 0.489019015169 .4 0.1 1.73 2
4 global -1.0 0.5 0.541013442952 11.7038340569 0.541013442952 .4 0.1 1.0 0
5 global -1.0 0.5 0.577458315558 12.9062309265 0.417458315558 .4 0.1 0.58 2
6 global 1.0 0.5 0.487958248236 16.4474771023 0.547958248236 .4 0.1 1.73 3
7 global -1.0 0.5 0.564662932691 17.4518301487 0.574662932691 .4 0.1 1.0 4
8 global 1.0 0.5 0.5187789477 18.1836740971 0.5787789477 .4 0.1 0.58 4
9 global -1.0 0.5 0.531405547323 31.5531570911 0.471405547323 .4 0.1 1.0 1
10 global -1.0 0.5 0.517473567112 23.5060460567 0.507473567112 .4 0.1 3.0 3
11 global 1.0 0.5 0.52236865831 23.6717009544 0.49236865831 .4 0.1 3.0 0
12 global 1.0 0.5 0.515805326579 38.2530138493 0.465805326579 .4 0.1 1.73 4
13 global 1.0 0.5 0.514211944208 18.9784369469 0.404211944208 .4 0.1 9.0 2
14 global 1.0 0.5 0.582143351378 20.7636959553 0.592143351378 .4 0.1 3.0 3
15 global -1.0 0.5 0.548873393439 13.0874478817 0.508873393439 .4 0.1 5.2 2
16 global -1.0 0.5 0.549312482786 78.4595031738 0.529312482786 .4 0.1 9.0 0
17 global -1.0 0.5 0.570252702353 16.5425322056 0.540252702353 .4 0.1 9.0 2
18 global -1.0 0.5 0.568676455925 10.28510499 0.498676455925 .4 0.1 9.0 1
19 none -1.0 0.5 0.579920791595 15.4370930195 0.439920791595 .4 0.1 0.0 1
20 global 1.0 0.5 0.496388524364 16.5686969757 0.426388524364 .4 0.1 9.0 1
21 global -1.0 0.5 0.557426806698 9.67398691177 0.527426806698 .4 0.1 1.0 2
22 global 1.0 0.5 0.499071711858 13.3828380108 0.519071711858 .4 0.1 1.0 1
23 none -1.0 0.5 0.570406892196 9.11589097977 0.570406892196 .4 0.1 0.0 4
24 global 1.0 0.5 0.54831129107 18.12322402 0.49831129107 .4 0.1 3.0 2
25 global 1.0 0.5 0.494998047122 17.1463260651 0.454998047122 .4 0.1 1.0 3
26 global -1.0 0.5 0.475819448071 32.1795060635 0.595819448071 .4 0.1 3.0 0
27 none 1.0 0.5 0.533431181848 24.689054966 0.573431181848 .4 0.1 0.0 3
28 global 1.0 0.5 0.499041398766 28.3705079556 0.459041398766 .4 0.1 0.58 1
29 global -1.0 0.5 0.499825414198 25.0555520058 0.449825414198 .4 0.1 3.0 1
30 global 1.0 0.5 0.456800972149 19.1903450489 0.476800972149 .4 0.1 0.58 0
31 global 1.0 0.5 0.470630808994 20.7530210018 0.550630808994 .4 0.1 9.0 4
32 global -1.0 0.5 0.583119326318 14.9339461327 0.563119326318 .4 0.1 0.58 4
33 global -1.0 0.5 0.556972183023 35.3037688732 0.446972183023 .4 0.1 9.0 3
34 none 1.0 0.5 0.5146712765 21.3165721893 0.4946712765 .4 0.1 0.0 4
35 global 1.0 0.5 0.577871556649 16.2538299561 0.577871556649 .4 0.1 1.73 1
36 global -1.0 0.5 0.485660536462 37.5455989838 0.465660536462 .4 0.1 3.0 4
37 none -1.0 0.5 0.537744206594 6.69337797165 0.477744206594 .4 0.1 0.0 2
38 global -1.0 0.5 0.461484572746 22.5235309601 0.441484572746 .4 0.1 1.73 4
39 global -1.0 0.5 0.463895021104 19.9557201862 0.533895021104 .4 0.1 5.2 1
40 none 1.0 0.5 0.471590762595 14.7996180058 0.571590762595 .4 0.1 0.0 0
41 global -1.0 0.5 0.536075568154 35.440721035 0.556075568154 .4 0.1 5.2 0
42 global -1.0 0.5 0.50040981865 41.532959938 0.41040981865 .4 0.1 5.2 4
43 global -1.0 0.5 0.50561271764 12.9012918472 0.51561271764 .4 0.1 5.2 3
44 global -1.0 0.5 0.56167220989 11.3594820499 0.53167220989 .4 0.1 1.73 1
45 global 1.0 0.5 0.474221986411 12.3512439728 0.564221986411 .4 0.1 5.2 3
46 global 1.0 0.5 0.475405661218 10.3712561131 0.495405661218 .4 0.1 9.0 3
47 global -1.0 0.5 0.560563932435 12.7203350067 0.510563932435 .4 0.1 0.58 3
48 global -1.0 0.5 0.57353731285 20.1649551392 0.50353731285 .4 0.1 1.0 3
49 global 1.0 0.5 0.461307818402 18.6347939968 0.451307818402 .4 0.1 1.0 4
50 global 1.0 0.5 0.479548970478 21.3885409832 0.479548970478 .4 0.1 3.0 4
51 global -1.0 0.5 0.529474359997 25.8824589252 0.539474359997 .4 0.1 1.73 0
52 global -1.0 0.5 0.553103052752 17.723293066 0.513103052752 .4 0.1 3.0 2
53 global -1.0 0.5 0.483155814273 21.0109200478 0.543155814273 .4 0.1 1.73 3
54 global 1.0 0.5 0.448466175872 17.8759469986 0.408466175872 .4 0.1 1.0 0
55 none -1.0 0.5 0.557699561699 25.1978399754 0.537699561699 .4 0.1 0.0 3
56 global 1.0 0.5 0.503034975144 50.484318018 0.573034975144 .4 0.1 5.2 2
57 global 1.0 0.5 0.624435444958 15.1217348576 0.504435444958 .4 0.1 5.2 4
58 none -1.0 0.5 0.558300410565 11.8985991478 0.558300410565 .4 0.1 0.0 0
59 global -1.0 0.5 0.592687436135 9.91720795631 0.582687436135 .4 0.1 0.58 1
60 global 1.0 0.5 0.525097621758 39.9461669922 0.435097621758 .4 0.1 1.73 2
61 global 1.0 0.5 0.448408496215 18.8379299641 0.408408496215 .4 0.1 9.0 0
62 global 1.0 0.5 0.456508931528 14.3236870766 0.496508931528 .4 0.1 0.58 2
63 global 1.0 0.5 0.611317372617 26.6119430065 0.411317372617 .4 0.1 5.2 1
64 none 1.0 0.5 0.491526427926 17.663328886 0.521526427926 .4 0.1 0.0 2
65 global 1.0 0.5 0.627174685243 15.9823408127 0.567174685243 .4 0.1 3.0 1
66 global 1.0 0.5 0.595419979494 9.98235297203 0.575419979494 .4 0.1 1.73 0
67 global 1.0 0.5 0.451947965636 8.06798315048 0.431947965636 .4 0.1 1.0 2
68 none 1.0 0.5 0.49481636507 11.9872438908 0.48481636507 .4 0.1 0.0 1
69 global -1.0 0.5 0.502661268117 10.2330949306 0.502661268117 .4 0.1 9.0 4
