Trial noise_type coaxial_lum test_lum match_lum response_time match_initial grating_freq grating_contrast noise_freq rep view_count
0 global 1.0 0.5 0.456875601777 12.0691189766 0.416875601777 .8 0.1 0.58 3 5
1 global -1.0 0.5 0.579323393186 8.34572100639 0.459323393186 .8 0.1 9.0 4 3
2 global 1.0 0.5 0.586089921863 19.0923340321 0.586089921863 .8 0.1 1.73 3 8
3 global -1.0 0.5 0.472959751584 18.5448768139 0.502959751584 .8 0.1 3.0 2 9
4 global 1.0 0.5 0.618751072887 15.9060428143 0.588751072887 .8 0.1 3.0 2 6
5 global 1.0 0.5 0.544203259307 9.08062791824 0.504203259307 .8 0.1 0.58 4 3
6 global -1.0 0.5 0.595297386822 10.5828080177 0.485297386822 .8 0.1 9.0 2 4
7 global 1.0 0.5 0.518625035804 23.3941919804 0.418625035804 .8 0.1 9.0 4 7
8 global -1.0 0.5 0.61042465087 12.0493929386 0.40042465087 .8 0.1 1.0 2 5
9 global -1.0 0.5 0.490457605435 18.347645998 0.400457605435 .8 0.1 3.0 0 8
10 none -1.0 0.5 0.578020623914 14.5701029301 0.548020623914 .8 0.1 0.0 4 6
11 global 1.0 0.5 0.453949688977 13.1941940784 0.543949688977 .8 0.1 0.58 0 6
12 none 1.0 0.5 0.496434774618 12.4503600597 0.496434774618 .8 0.1 0.0 0 5
13 global -1.0 0.5 0.535217890114 27.7834398746 0.535217890114 .8 0.1 5.2 4 11
14 global -1.0 0.5 0.441303071525 11.2465951443 0.531303071525 .8 0.1 1.73 4 5
15 global 1.0 0.5 0.621393847157 20.9411289692 0.421393847157 .8 0.1 5.2 3 8
16 global -1.0 0.5 0.593183835756 17.0993039608 0.583183835756 .8 0.1 1.0 3 5
17 global -1.0 0.5 0.469726040054 13.5943160057 0.589726040054 .8 0.1 3.0 3 6
18 global -1.0 0.5 0.545462707489 14.3097031116 0.525462707489 .8 0.1 0.58 3 6
19 global -1.0 0.5 0.498575501155 22.6366200447 0.558575501155 .8 0.1 1.73 1 10
20 global -1.0 0.5 0.550749536397 19.4796621799 0.540749536397 .8 0.1 9.0 0 8
21 global 1.0 0.5 0.515436621982 29.8661849499 0.505436621982 .8 0.1 1.0 2 10
22 global 1.0 0.5 0.49542674162 17.8598668575 0.47542674162 .8 0.1 1.0 1 7
23 global -1.0 0.5 0.606267356404 23.0981340408 0.426267356404 .8 0.1 0.58 4 10
24 global 1.0 0.5 0.54215556703 20.5636560917 0.43215556703 .8 0.1 5.2 1 10
25 global 1.0 0.5 0.523700085218 24.1027209759 0.493700085218 .8 0.1 1.73 0 10
26 global -1.0 0.5 0.488242658991 18.145045042 0.468242658991 .8 0.1 3.0 4 9
27 global -1.0 0.5 0.547635718301 16.7494208813 0.487635718301 .8 0.1 5.2 3 8
28 global 1.0 0.5 0.495004987557 15.8079721928 0.585004987557 .8 0.1 1.0 4 7
29 global -1.0 0.5 0.543282396789 17.8302829266 0.513282396789 .8 0.1 0.58 1 7
30 global -1.0 0.5 0.549515108458 38.1861448288 0.429515108458 .8 0.1 1.73 3 11
31 global -1.0 0.5 0.547538648158 59.2613799572 0.427538648158 .8 0.1 5.2 2 10
32 global -1.0 0.5 0.569053520138 17.0820820332 0.599053520138 .8 0.1 5.2 0 7
33 global -1.0 0.5 0.566503652579 21.871712923 0.566503652579 .8 0.1 1.73 0 9
34 global 1.0 0.5 0.630793242141 17.9104149342 0.520793242141 .8 0.1 5.2 2 7
35 global 1.0 0.5 0.506221472993 12.5667049885 0.406221472993 .8 0.1 1.0 0 5
36 global -1.0 0.5 0.556030749959 17.8976769447 0.446030749959 .8 0.1 1.0 0 8
37 global -1.0 0.5 0.546436265088 22.5341999531 0.526436265088 .8 0.1 5.2 1 9
38 global 1.0 0.5 0.464560268978 11.5296120644 0.444560268978 .8 0.1 1.0 3 4
39 none 1.0 0.5 0.516910875321 15.6710059643 0.596910875321 .8 0.1 0.0 1 7
40 global -1.0 0.5 0.52039278902 11.9502120018 0.50039278902 .8 0.1 0.58 2 5
41 global 1.0 0.5 0.496629362151 14.2824559212 0.576629362151 .8 0.1 9.0 3 7
42 global 1.0 0.5 0.470508742625 10.7821400166 0.400508742625 .8 0.1 0.58 1 5
43 none -1.0 0.5 0.575472861455 21.5173740387 0.405472861455 .8 0.1 0.0 1 7
44 none 1.0 0.5 0.513010924207 17.8546769619 0.433010924207 .8 0.1 0.0 2 9
45 global 1.0 0.5 0.489586510469 12.0923922062 0.409586510469 .8 0.1 9.0 0 5
46 global 1.0 0.5 0.500803596367 13.8779540062 0.550803596367 .8 0.1 9.0 2 7
47 global -1.0 0.5 0.544593163678 14.8227050304 0.504593163678 .8 0.1 9.0 3 8
48 global 1.0 0.5 0.456677955379 16.4874479771 0.536677955379 .8 0.1 1.73 4 8
49 none 1.0 0.5 0.490015505309 16.5046620369 0.560015505309 .8 0.1 0.0 3 8
50 global 1.0 0.5 0.613173850916 10.2939679623 0.573173850916 .8 0.1 3.0 0 4
51 global -1.0 0.5 0.547239237542 15.4696800709 0.427239237542 .8 0.1 1.73 2 8
52 global 1.0 0.5 0.578952347397 20.7706298828 0.448952347397 .8 0.1 3.0 1 8
53 global 1.0 0.5 0.540527364123 74.2259950638 0.400527364123 .8 0.1 1.73 1 14
54 global 1.0 0.5 0.472179512418 20.728012085 0.482179512418 .8 0.1 1.73 2 7
55 global 1.0 0.5 0.598536812243 26.2609248161 0.488536812243 .8 0.1 3.0 4 10
56 global 1.0 0.5 0.622908084459 15.6475870609 0.472908084459 .8 0.1 3.0 3 7
57 global 1.0 0.5 0.517861775552 27.2554190159 0.497861775552 .8 0.1 9.0 1 10
58 global -1.0 0.5 0.55752286806 15.3972990513 0.56752286806 .8 0.1 1.0 4 7
59 global 1.0 0.5 0.602984645166 11.683369875 0.582984645166 .8 0.1 5.2 0 5
60 none 1.0 0.5 0.523437994826 27.1958229542 0.443437994826 .8 0.1 0.0 4 8
61 global -1.0 0.5 0.55256519991 16.5236749649 0.47256519991 .8 0.1 0.58 0 8
62 global 1.0 0.5 0.632193798994 18.3130338192 0.452193798994 .8 0.1 5.2 4 7
63 global -1.0 0.5 0.565063066227 22.6726000309 0.435063066227 .8 0.1 9.0 1 10
64 none -1.0 0.5 0.565692104785 8.85738801956 0.525692104785 .8 0.1 0.0 3 4
65 global 1.0 0.5 0.436308667336 17.1902899742 0.416308667336 .8 0.1 0.58 2 6
66 none -1.0 0.5 0.566155604423 22.4091210365 0.466155604423 .8 0.1 0.0 0 11
67 global -1.0 0.5 0.593629030399 15.0268211365 0.593629030399 .8 0.1 1.0 1 5
68 global -1.0 0.5 0.550226891316 18.9000210762 0.580226891316 .8 0.1 3.0 1 8
69 none -1.0 0.5 0.583135517898 23.3044681549 0.543135517898 .8 0.1 0.0 2 9
